ranker|school_name|year_min|year_max|years|g|wins|losses|win_loss_pct|srs|sos|poll_final|conf_champ_count|conf_champ_post_count|ncaa_count|ncaa_final_four_count|ncaa_champ_count|
57|California-Davis Aggies|2008|2015|8|241|93|148|.386|-7.48|-2.77|0|0|0|0|0|0
58|California-Irvine Anteaters|1978|2015|38|1113|521|592|.468|-1.63|0.47|0|3|0|0|0|0
59|California-Riverside Highlanders|2002|2015|14|403|138|265|.342|-8.64|-1.66|0|0|0|0|0|0
60|California-Santa Barbara Gauchos|1964|2015|52|1454|764|690|.525|0.76|0.61|0|4|3|5|0|0
61|Campbell Fighting Camels|1978|2015|38|1074|433|641|.403|-13.19|-7.19|0|1|1|1|0|0
62|Canisius Golden Griffins|1904|2015|111|2433|1234|1199|.507|-5.00|-3.41|1|7|1|4|0|0
63|Carleton College Knights|1910|1934|25|360|280|80|.778|||0|0|0|||
64|Carnegie Mellon Tartans|1933|1939|7|87|40|47|.460|||0|2|0|0|0|0
65|Case Western Reserve Spartans|1898|1955|13|245|95|150|.388|||0|0|0|0|0|0
66|Catholic Cardinals|1913|1981|13|248|122|126|.492|-20.94|-6.16|0|0|0|1|0|0
67|Centenary (LA) Gents|1960|2011|52|1435|637|798|.444|-10.54|-4.46|1|2|1|0|0|0
68|Central Arkansas Bears|2011|2015|5|140|35|105|.250|-17.41|-5.51|0|0|0|0|0|0
69|Central Connecticut State Blue Devils|1987|2015|29|836|354|482|.423|-11.97|-7.71|0|3|3|3|0|0
70|Central Florida Knights|1985|2015|31|912|447|465|.490|-5.69|-3.67|0|1|4|4|0|0
71|Central Michigan Chippewas|1974|2015|42|1180|506|674|.429|-4.91|-0.29|0|6|2|4|0|0
72|Central Missouri Mules|1913|1937|10|178|140|38|.787|||0|0|0|||
73|Central Normal College |1931|1931|1|19|19|0|1.000|||0|0|0|||
74|Central Pennsylvania College Knights|1896|1900|4|6|2|4|.333|||0|0|0|||
75|Centre (KY) Colonels|1910|1919|3|45|41|4|.911|||0|0|0|||
76|Charleston Southern Buccaneers|1975|2015|41|1160|480|680|.414|-11.72|-7.54|0|3|4|1|0|0
77|Charlotte 49ers|1973|2015|43|1271|723|548|.569|4.30|3.49|2|6|5|11|1|0
78|Chattanooga Mocs|1978|2015|38|1156|701|455|.606|-2.14|-3.67|1|18|10|10|0|0
79|Cheyenne Business College |1903|1903|1|1|1|0|1.000|||0|0|0|||
80|Chicago Maroons|1896|1946|46|862|419|443|.486|||0|6|0|0|0|0
81|Chicago State Cougars|1985|2015|31|889|251|638|.282|-14.44|-2.49|0|1|1|0|0|0
82|Cincinnati Bearcats|1902|2015|114|2669|1689|980|.633|11.59|6.24|22|23|10|28|6|2
83|Citadel Bulldogs|1913|2015|103|2230|950|1280|.426|-10.88|-4.25|0|0|0|0|0|0
84|City College of New York Beavers|1906|1953|48|725|517|208|.713|||0|1|0|2|2|1
85|Clemson Tigers|1912|2015|104|2498|1251|1245|.501|10.51|6.93|5|1|1|11|0|0
86|Cleveland State Vikings|1973|2015|43|1242|638|604|.514|-1.35|-1.27|0|4|2|2|0|0
87|Coastal Carolina Chanticleers|1987|2015|29|846|427|419|.505|-9.18|-6.97|0|7|4|3|0|0
88|Colgate Raiders|1901|2015|115|2547|1211|1336|.475|-11.27|-6.02|0|3|2|2|0|0
89|College of Charleston Cougars|1992|2015|24|739|516|223|.698|0.94|-4.71|2|12|3|4|0|0
90|College of New Jersey Lions|1900|1900|1|5|3|2|.600|||0|0|0|||
91|Colorado Buffaloes|1902|2015|112|2384|1232|1152|.517|5.71|7.05|5|19|1|13|2|0
92|Colorado College Tigers|1915|1937|23|376|233|143|.620|||0|7|0|||
93|Colorado School of Mines Orediggers|1908|1937|28|282|80|202|.284|||0|2|0|||
94|Colorado State Rams|1902|2015|111|2397|1196|1201|.499|3.39|3.39|0|6|1|10|0|0
95|Columbia Lions|1901|2015|115|2495|1246|1249|.499|-10.04|-5.63|2|13|0|3|0|0
96|Concordia Seminary Preachers|1907|1923|2|16|14|2|.875|||0|0|0|||
97|Connecticut Huskies|1901|2015|109|2468|1579|889|.640|13.60|6.45|16|27|7|31|5|4
98|Coppin State Eagles|1986|2015|30|899|445|454|.495|-9.57|-8.34|0|10|4|4|0|0
99|Cornell Big Red|1899|2015|117|2581|1216|1365|.471|-8.40|-5.01|0|8|0|5|0|0
100|Cotner University |1910|1911|2|27|24|3|.889|||0|0|0|||
101|Creighton Bluejays|1912|2015|95|2438|1474|964|.605|5.33|3.26|4|15|12|19|0|0
102|Cumberland University Bulldogs|1904|1904|1|4|4|0|1.000|||0|0|0|||
103|Dakota Wesleyan Tigers|1932|1932|1|20|19|1|.950|||0|0|0|||
104|Dartmouth Big Green|1900|2015|115|2713|1267|1444|.467|-11.67|-6.47|0|12|0|7|2|0
105|Davidson Wildcats|1909|2015|106|2539|1373|1166|.541|-1.29|-2.75|6|23|12|12|0|0
106|Dayton Flyers|1904|2015|110|2622|1553|1069|.592|5.16|3.17|7|4|2|15|1|0
107|Delaware Fightin' Blue Hens|1906|2015|74|1755|877|877|.500|-5.27|-4.48|0|4|5|5|0|0
108|Delaware State Hornets|1974|2015|42|1191|497|694|.417|-15.09|-9.91|0|3|1|1|0|0
109|Denison Big Red|1905|1944|24|362|269|93|.743|||0|0|0|0|0|0
110|Denver Pioneers|1904|2015|92|1948|884|1064|.454|-3.45|-2.23|0|5|0|0|0|0
111|DePaul Blue Demons|1924|2015|92|2356|1419|937|.602|7.79|6.15|12|9|0|22|2|0
112|DePauw Tigers|1916|1932|17|276|182|94|.659|||0|0|0|||
113|Detroit Mercy Titans|1910|2015|106|2520|1370|1150|.544|-0.09|0.71|2|2|3|6|0|0
114|Dickinson College Red Devils|1926|1947|2|34|30|4|.882|||0|0|0|0|0|0
115|Drake Bulldogs|1907|2015|109|2589|1187|1402|.458|-0.27|2.52|5|8|1|4|1|0
116|Drexel Dragons|1895|2015|45|1222|702|520|.574|-2.17|-4.11|0|7|4|4|0|0
117|Duke Blue Devils|1906|2015|110|2902|2050|852|.706|20.81|9.06|43|22|24|38|15|4
118|Duquesne Dukes|1914|2015|99|2389|1336|1053|.559|-0.87|2.25|7|3|1|5|1|0
119|East Carolina Pirates|1967|2015|49|1380|614|766|.445|-4.03|-0.50|0|0|2|2|0|0
120|East Central Tigers|1929|1931|3|74|66|8|.892|||0|0|0|||
121|East Tennessee State Buccaneers|1959|2015|57|1599|847|752|.530|-3.78|-3.36|1|9|8|9|0|0
122|Eastern Illinois Panthers|1982|2015|34|986|456|530|.462|-7.28|-4.26|0|0|3|2|0|0
123|Eastern Kentucky Colonels|1948|2015|65|1721|850|871|.494|-6.63|-4.04|0|7|5|8|0|0
124|Eastern Michigan Eagles|1933|2015|43|1246|583|663|.468|-2.37|-0.34|0|5|4|4|0|0
125|Eastern Washington Eagles|1984|2015|32|905|366|539|.404|-6.74|-1.98|0|2|1|1|0|0
126|Elon Phoenix|2000|2015|16|484|202|282|.417|-9.49|-4.32|0|2|0|0|0|0
127|Emporia State Hornets|1934|1934|1|18|17|1|.944|||0|0|0|||
128|Evansville Purple Aces|1925|2015|42|1165|633|532|.543|1.85|0.99|0|6|4|5|0|0
129|Fairfield Stags|1965|2015|51|1440|705|735|.490|-4.77|-2.60|0|3|3|3|0|0
130|Fairleigh Dickinson Knights|1968|2015|48|1331|642|689|.482|-9.28|-7.03|0|5|4|4|0|0
131|Florida A&M Rattlers|1980|2015|36|1057|417|640|.395|-15.61|-9.01|0|0|4|3|0|0
